Sex	agecl	rstart_dat	rend_dat	animal_id	mortcaus
M	C	20-Jun-01	11-May-07	CN190Ca	FADE
M	C	20-Jun-01	06-Aug-02	CN191Ca	FADE
M	C	20-Jun-01	17-Jun-01	CN192Ca	PRED
F	C	21-Jun-01	25-Oct-12	CN193Wa	FADE
F	C	28-Jun-01	28-Oct-10	CN194Ca	FADE
F	C	29-Jun-01	29-Jul-02	CN195Aa	HUNT
M	C	29-Jun-01	16-Jul-01	CN196Aa	UNKN
F	C	05-Jul-01	09-Sep-01	CN197Wa	PRED
F	C	06-Jul-01	14-Nov-01	CN198Wa	FADE
M	C	06-Jul-01	30-Jun-06	CN199Wa	FADE
M	C	06-Jul-01	22-Aug-01	CN200Wa	PRED
M	C	05-Jun-02	07-Jun-02	CN201Aa	ACCI
UNK	C	08-Jun-02	06-Sep-02	CN202Ca	FADE
F	C	08-Jun-02	11-Jul-02	CN203Ca	FADE
F	C	08-Jun-02	25-Feb-03	CN204Ca	FADE
M	A	12-Jun-02	24-May-07	CN205Sa	UNKN
M	C	12-Jun-02	17-Dec-02	CN206Aa	FADE
F	C	12-Jun-02	17-Dec-03	CN207Ca	FADE
M	C	13-Jun-02	25-Jul-03	CN208Ca	FADE
F	C	13-Jun-02	11-Jun-02	CN209Wa	ACCI
M	C	13-Jun-02	12-Mar-03	CN210Wa	UNKN
M	C	13-Jun-02	23-Sep-03	CN211Wa	FADE
F	C	18-Jun-02	17-Jul-03	CN212Ca	UNKN
F	C	18-Jun-02	13-Oct-02	CN213Ca	PRED
M	C	18-Jun-02	06-Oct-03	CN214Ca	FADE
M	C	19-Jun-02	04-Aug-02	CN215Ca	PRED
M	C	19-Jun-02	13-Nov-02	CN216Ca	FADE
F	C	25-Jun-02	16-Dec-03	CN217Aa	FADE
M	C	26-Jun-02	24-Mar-03	CN218Aa	FADE
F	C	27-Jun-02	18-Jul-02	CN219Wa	PRED
F	C	27-Jun-02	25-Jul-03	CN220Wa	FADE
M	C	18-Jul-02	02-Mar-03	CN221Wa	PRED
F	C	18-Jul-02	28-Mar-04	CN222Wa	FADE
F	A	30-Oct-02	22-Aug-07	CN223Sa	FADE
F	A	30-Oct-02	22-Aug-07	CN224Sa	FADE
F	A	30-Oct-02	24-Feb-07	CN225Sa	FADE
F	C	30-Oct-02	02-Nov-02	CN226Sa	MYOP
F	A	27-Feb-03	02-Mar-10	CN227Ca	FADE
F	A	27-Feb-03	19-Apr-05	CN228Ca	PRED
F	A	27-Feb-03	22-Mar-07	CN229Ca	FADE
F	A	27-Feb-03	28-Oct-10	CN230Ca	FADE
F	A	27-Feb-03	08-May-09	CN231Ca	PRED
F	A	01-Feb-04	28-Apr-04	CN232Wa	PRED
F	A	08-Mar-07	28-Oct-10	CN233Ca	FADE
F	A	10-Mar-07	02-May-08	CN234Ca	PRED
F	A	15-Mar-07	07-Feb-09	CN235Ca	PRED
F	A	15-Mar-07	28-Oct-10	CN236Ca	FADE
F	A	24-Mar-07	31-Mar-09	CN237Wa	PRED
F	A	24-Mar-07	19-Oct-10	CN238Wa	FADE
F	A	24-Mar-07	03-Mar-10	CN239Wa	FADE
F	A	24-Mar-07	25-Oct-12	CN240Wa	FADE
F	A	24-Mar-07	07-Apr-09	CN241Wa	UNKN
F	A	24-Mar-07	25-Oct-12	CN242Wa	FADE
F	A	18-Feb-08	04-Nov-08	CN243Wa	FADE
F	A	18-Feb-08	25-Oct-12	CN244Wa	FADE
F	A	19-Feb-08	25-Oct-12	CN245Wa	FADE
F	A	19-Feb-08	25-Oct-12	CN246Wa	FADE
F	A	19-Feb-08	02-Mar-10	CN247Wa	FADE
F	A	19-Feb-08	02-Mar-10	CN248Wa	FADE
F	A	19-Feb-08	19-Oct-10	CN249Wa	FADE
F	A	19-Feb-08	25-Oct-12	CN250Wa	FADE
F	A	20-Feb-08	25-Feb-09	CN251Wa	FADE
F	A	20-Feb-08	15-Sep-09	CN252Wa	PRED
F	A	20-Feb-08	19-Oct-10	CN253Wa	FADE
F	A	20-Feb-08	03-Sep-08	CN254Wa	UNKN
F	A	20-Feb-08	03-Mar-10	CN255Wa	FADE
F	A	21-Feb-08	28-Oct-10	CN256Ca	FADE
F	A	21-Feb-08	28-Oct-10	CN257Ca	FADE
F	A	22-Feb-08	02-Mar-10	CN258Ca	FADE
F	A	22-Feb-08	28-Oct-10	CN259Ca	FADE
F	A	22-Feb-08	11-May-09	CN260Ca	PRED
F	A	22-Feb-08	28-Oct-10	CN261Ca	FADE
F	A	22-Feb-08	03-Mar-10	CN262Ca	FADE
F	A	23-Feb-08	31-Mar-09	CN263Ca	PRED
F	A	24-Feb-08	05-Mar-10	CN264Ca	FADE
F	A	24-Feb-08	02-May-08	CN265Ca	PRED
F	A	24-Feb-08	28-Oct-10	CN266Ca	FADE
F	A	24-Feb-08	28-Oct-10	CN267Ca	FADE
F	A	25-Feb-09	02-Mar-10	CN268Ca	FADE
F	A	27-Feb-09	04-Mar-10	CN269Ca	FADE
F	A	27-Feb-09	28-Oct-10	CN270Ca	FADE
F	A	28-Feb-09	19-Oct-10	CN271Wa	FADE
F	A	28-Feb-09	02-Mar-10	CN272Wa	FADE
F	A	28-Feb-09	20-Oct-12	CN273Ca	FADE
F	A	28-Feb-09	20-Oct-12	CN274Ca	FADE
F	A	28-Feb-09	23-Jun-10	CN275Ca	PRED
F	A	28-Feb-09	28-Oct-10	CN276Ca	FADE
F	Y	28-Feb-09	28-Oct-10	CN277Ca	FADE
F	A	28-Feb-09	28-Oct-10	CN278Ca	FADE
F	A	01-Mar-09	19-Oct-10	CN279Ca	FADE
F	A	01-Mar-09	28-Oct-10	CN280Ca	FADE
F	A	01-Mar-09	28-Oct-10	CN281Ca	FADE
F	A	05-Mar-09	28-Oct-10	CN282Ca	FADE
F	A	05-Mar-09	03-Mar-10	CN283Ca	FADE
F	A	05-Mar-09	05-Mar-10	CN284Ca	FADE
